id,screen_name,followers_count,score
1492905290425118723,Jayysen_,34080,1
212572827,benpostma,7251,1
1579596458,MarkPlackett1,4806,-1
1092378031,GuardianAus,335577,2
590327672,156Richard,3248,0
1101971643327426565,Stella4Menzies,7008,2
779814741736730624,BeattieNgiare,3812,-1
1420889966037532675,PeterTOWNSV1LLE,4382,2
43525891,TheKouk,55010,1
93949528,WittaTwitta,7531,3
137198586,billshortenmp,379308,1
526125131,philYoung17,3340,1
384019593,Vikkik88,2834,3
259074665,Nicola_Gage,3445,1
2493534578,BevJohnst,2581,3
126668055,paulmotty,10079,3
18621574,AaronDodd,20375,-2
51921301,pepin_neff,10047,1
452457931,glenpen60,3621,1
1647291168,ArchRose90,67563,-4
165793361,pollsstar,2851,1
1339166129110065152,GBNEWS,396967,5
2732180892,supertanskiii,86486,1
319619581,TheStephenRalph,26115,0
18060630,thisisanfield,823511,1
216282908,MoruoKing,28626,-1
394155776,FulhamFanTV,49351,1
989126198138753024,Gness_choppa,3535,1
1900660837,LFCMAGAZINE,84247,1
25327586,tonymc39,14031,1
861910405005946880,nG0ne_di0p,6803,0
2525206496,AnfieldWatch,825151,5
3297150710,nne_o_mah,3766,1
2716086881,TheAnfieldTalk,117343,1
1852972231,Big_Hardidas,3689,2
2549178149,ElliH53,3579,-1
131188226,himantabiswa,1564865,3
2147896685,Vinspry1_BJP,3591,1
39211040,NewsMedical,14904,1
1380939580657049601,Theboveed,7268,-91
347936156,TheLawMap,8809,1
978606266040938496,no_itsmyturn,77294,1
788524,guardiannews,3767025,0
130120037,PippaCrerar,313581,3
2595088842,EuromaidanPress,228195,0
2749315621,OlenaHalushka,63647,2
32871086,kylegriffin1,1324824,-5
1309540147713712129,KhrissyChoate,5709,-1
1259876489857773569,CovidJusticeUK,27462,1
1709294947,DD_Bharati,74391,-1
1315735242250973186,Akshat_World,133843,-1
818893114979061761,JoJoFromJerz,360027,2
14291684,UKLabour,935585,2
3248453770,bel_nagy,3742,4
2826606410,emFoodTech,2726,1
1343644345195520000,YWNReporter,29548,1
726495400757198849,TheWarOfNow,9226,-1
34713362,business,8294677,20
160585014,hilsdentrading,5860,1
744601892,AmichaiStein1,69769,-2
1520202720,ignis_fatum,25515,9
254117355,Morning_Joe,752216,4
133404734,JoaoTravelPR,10011,1
196224488,EliezerRios_PH,2628,1
52753292,ICOnews,81751,2
596377986,EU_EDPS,27629,1
226512656,stop1984,6330,2
2149973089,APDiploWriter,100501,-1
1322915476771688449,Akif86517299,7556,0
592730371,JackPosobiec,1783121,6
968655666,AthenaFreedom20,6927,1
575690565,JustLEAVEeu,10687,2
3048930572,TaiwanNews886,71842,1
719690726641164288,Chilhon2016Lap,3688,2
1030711922,DeadlineDayLive,1213997,3
2761507744,Sir_EbubeEleazu,3268,1
1316474249989812224,congresstrading,41409,1
3282981146,NovaShpakova,3858,1
16850792,cliff_notes,27456,1
10818272,HolleyA,4128,1
2280470022,airlivenet,213771,2
66349441,CSG1973,2596,1
2927819278,ProfElvanAktas,112160,1
1416165952786468873,Kikokiki_txt,3988,-2
34188933,aperren,3238,-1
1277236151343087617,theMadridZone,281874,2
1064376789231955969,Princenkosi2K,2771,1
36267711,TJSeraphim,7164,1
275686563,verge,2991477,1
131763362,sherryrehman,1342889,1
247984854,salmansharif_pk,2633,2
1241681698485440512,sincerely_epic,19859,-5
1153045459,INCIndia,8449447,2
1194918563456270339,Sahil_Mohammed2,3923,1
1035259437517348865,11Wwazir,5960,18
1480418833177497602,Here_4Pakistan,12207,7
1213165551008174080,PakistanCheck,9104,1
518205190,Zebi232,14456,1
18839785,narendramodi,79083008,6
305603067,CRPaatil,376036,1
